,is_trade,l1_name,l2_name,l3_name,stock_code,name,mc,beta
138,0,医药生物,化学制药,化学制剂,688321,微芯生物,0.5406666666666666,0.29333333333333333
139,1,医药生物,化学制药,化学制剂,688505,复旦张江,0.5393333333333333,0.406
140,1,医药生物,化学制药,化学制剂,300630,普利制药,0.5386666666666666,0.132
141,0,医药生物,化学制药,化学制剂,688062,迈威生物-U,0.5366666666666666,0.198
142,0,医药生物,化学制药,化学制剂,600664,哈药股份,0.5353333333333333,0.11333333333333333
143,1,医药生物,化学制药,化学制剂,002755,奥赛康,0.5346666666666666,0.3466666666666667
144,1,医药生物,化学制药,化学制剂,301263,泰恩康,0.5253333333333333,0.018
145,0,医药生物,化学制药,化学制剂,688382,益方生物-U,0.522,0.072
146,1,医药生物,化学制药,化学制剂,000915,华特达因,0.5193333333333333,0.09533333333333334
147,0,医药生物,化学制药,化学制剂,601089,福元医药,0.49866666666666665,0.41933333333333334
148,0,医药生物,化学制药,化学制剂,688197,首药控股-U,0.48333333333333334,0.036
149,1,医药生物,化学制药,化学制剂,300233,金城医药,0.4826666666666667,0.05733333333333333
150,0,医药生物,化学制药,化学制剂,000597,东北制药,0.47933333333333333,0.178
151,1,医药生物,化学制药,化学制剂,600851,海欣股份,0.47,0.114
152,1,医药生物,化学制药,化学制剂,603367,辰欣药业,0.452,0.2613333333333333
153,0,医药生物,化学制药,化学制剂,000813,德展健康,0.44666666666666666,0.2806666666666667
154,1,医药生物,化学制药,化学制剂,688553,汇宇制药-W,0.44266666666666665,0.4046666666666667
155,0,医药生物,化学制药,化学制剂,002550,千红制药,0.43466666666666665,0.18333333333333332
156,1,医药生物,化学制药,化学制剂,003020,立方制药,0.428,0.21266666666666667
157,0,医药生物,化学制药,化学制剂,000566,海南海药,0.426,0.06933333333333333
158,0,医药生物,化学制药,化学制剂,688176,亚虹医药-U,0.424,0.646
159,1,医药生物,化学制药,化学制剂,688513,苑东生物,0.42333333333333334,0.21333333333333335
160,1,医药生物,化学制药,化学制剂,688566,吉贝尔,0.4206666666666667,0.152
161,0,医药生物,化学制药,化学制剂,688247,宣泰医药,0.38266666666666665,0.038
162,1,医药生物,化学制药,化学制剂,300434,金石亚药,0.37866666666666665,0.098
163,1,医药生物,化学制药,化学制剂,603676,卫信康,0.37666666666666665,0.08
164,1,医药生物,化学制药,化学制剂,600789,鲁抗医药,0.37333333333333335,0.21866666666666668
165,0,医药生物,化学制药,化学制剂,688302,海创药业-U,0.37266666666666665,0.138
166,0,医药生物,化学制药,化学制剂,688373,盟科药业-U,0.37133333333333335,0.42533333333333334
167,0,医药生物,化学制药,化学制剂,002793,罗欣药业,0.36866666666666664,0.388
168,0,医药生物,化学制药,化学制剂,300158,振东制药,0.3586666666666667,0.22666666666666666
